"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2155219-<b>T</b>,"4 x 10-8",,0.47,1.17,'-,[1.11-1.24],"EMSY, AP001189.2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,11:76588150
rs17513503-<b>G</b>,"7 x 10-7",,0.09,1.28,'-,[1.16-1.41],"SLC25A46, AC008782.1","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:110810746
rs216518-<b>A</b>,"2 x 10-6",,0.15,1.21,'-,[1.12-1.31],"AL157756.1, RPL17P2","Allergic rhinitis","seasonal allergic rhinitis",GCST001310,14:60216712
rs6586513-<b>C</b>,"4 x 10-6",,0.29,1.24,'-,[1.13-1.36],CROCC,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,1:16889836
rs1898671-<b>T</b>,"5 x 10-6",,0.35,1.15,'-,[1.08-1.22],TSLP,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,5:111072304
rs4724100-<b>C</b>,"2 x 10-6",,0.45,1.14,'-,[1.08-1.21],GLI3,"Allergic rhinitis","seasonal allergic rhinitis",GCST001310,7:42225080
rs7775228-<b>C</b>,"2 x 10-9",,0.13,1.33,'-,[1.21-1.45],"MTCO3P1, HLA-DQB1","IgE grass sensitization","seasonal allergic rhinitis",GCST001303,6:32690302
rs9273373-<b>G</b>,"4 x 10-14",,0.54,1.24,'-,[1.17-1.30],"HLA-DQB1, HLA-DQA1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,6:32658824
rs4833095-<b>T</b>,"5 x 10-12",,0.74,1.2,'-,[1.14-1.26],TLR1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,4:38798089
rs1438673-<b>C</b>,"3 x 10-11",,0.49,1.16,'-,[1.11-1.21],"AC010468.2, WDR36","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:111131801
rs10197862-<b>A</b>,"4 x 10-11",,0.85,1.24,'-,[1.16-1.32],"IL18R1, IL1RL1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,2:102350089
rs7212938-<b>G</b>,"4 x 10-10",,0.46,1.16,'-,[1.11-1.20],GSDMA,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,17:39966427
rs1837253-<b>C</b>,"1 x 10-9",,0.71,1.17,'-,[1.12-1.24],"TSLP, AC010395.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:111066174
rs72699186-<b>T</b>,"2 x 10-9",,0.15,1.26,'-,[1.16-1.35],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,9:6175855
rs17294280-<b>G</b>,"4 x 10-9",,0.23,1.18,'-,[1.11-1.25],SMAD3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,15:67175947
rs7009110-<b>T</b>,"4 x 10-9",,0.36,1.14,'-,[1.09-1.19],AC034114.2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,8:80379644
rs62026376-<b>C</b>,"1 x 10-8",,0.72,1.17,'-,[1.11-1.24],CLEC16A,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,16:11134855
rs3853750-<b>C</b>,"2 x 10-7",,'-,1.1533,'-,[1.1-1.21],"SLC25A46, AC008782.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:110818610
rs11049300-<b>G</b>,"3 x 10-7",,'-,1.4144,'-,[1.28-1.55],"CCDC91, PTHLH","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,12:28042192
rs12450323-<b>T</b>,"4 x 10-7",,'-,1.16,'-,[1.1-1.22],IKZF3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,17:39816455
rs6982751-<b>G</b>,"4 x 10-7",,'-,1.1878,'-,[1.12-1.25],XKR6,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,8:10955964
rs41295115-<b>C</b>,"5 x 10-7",,'-,1.2769,'-,[1.18-1.37],"RBM17, RPL32P23","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,10:6082658
rs72766477-<b>A</b>,"5 x 10-7",,'-,1.3402,'-,[1.23-1.45],"PPIAP79, EDIL3-DT","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:84611411
rs76043829-<b>A</b>,"6 x 10-7",,'-,1.2133,'-,[1.14-1.29],TNS1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,2:217812863
rs7521681-<b>A</b>,"7 x 10-7",,'-,1.1491,'-,[1.09-1.2],VAV3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,1:107779913
rs6517368-<b>C</b>,"2 x 10-6",,'-,1.1201,'-,[1.07-1.17],AP000696.1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,21:36635645
rs17605016-<b>G</b>,"2 x 10-6",,'-,1.1878,'-,[1.12-1.26],TAFA2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,12:61856639
rs343496-<b>T</b>,"2 x 10-6",,'-,1.1351,'-,[1.08-1.19],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,9:6068077
