"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs2025345-<b>G</b>,"3 x 10-6",,0.3743,'-,"0.0572 unit decrease",[0.033-0.081],IL2RA,"Self-reported allergy",allergy,GCST002083,10:6025725
rs962993-<b>T</b>,"2 x 10-8",,0.4292,'-,"0.0707 unit decrease",[0.046-0.095],"AC044784.1, LINC00709","Self-reported allergy",allergy,GCST002083,10:9011169
rs1998359-<b>G</b>,"5 x 10-8",,0.2491,'-,"0.0809 unit increase",[0.052-0.110],TTC6,"Self-reported allergy",allergy,GCST002083,14:37607943
rs2056417-<b>A</b>,"4 x 10-7",,0.3027,'-,"0.0658 unit decrease",[0.041-0.091],PEX14,"Self-reported allergy",allergy,GCST002083,1:10521601
rs10174949-<b>A</b>,"1 x 10-7",,0.2728,'-,"0.0703 unit decrease",[0.044-0.096],LINC00299,"Self-reported allergy",allergy,GCST002083,2:8302118
rs10189629-<b>A</b>,"2 x 10-16",,0.1450,'-,"0.1448 unit decrease",[0.11-0.18],"FAM183DP, IL1RL1","Self-reported allergy",allergy,GCST002083,2:102263004
rs10497813-<b>G</b>,"6 x 10-10",,0.4825,'-,"0.0734 unit increase",[0.050-0.097],PLCL1,"Self-reported allergy",allergy,GCST002083,2:198049348
rs9860547-<b>A</b>,"1 x 10-9",,0.4629,'-,"0.0741 unit increase",[0.050-0.098],LPP,"Self-reported allergy",allergy,GCST002083,3:188411191
rs2101521-<b>A</b>,"5 x 10-21",,0.2384,'-,"0.1374 unit decrease",[0.11-0.17],TLR1,"Self-reported allergy",allergy,GCST002083,4:38809930
rs17388568-<b>A</b>,"4 x 10-8",,0.2748,'-,"0.0727 unit increase",[0.047-0.099],ADAD1,"Self-reported allergy",allergy,GCST002083,4:122408207
rs7720838-<b>G</b>,"8 x 10-11",,0.4254,'-,"0.0785 unit decrease",[0.055-0.102],"AC114977.2, AC114977.1","Self-reported allergy",allergy,GCST002083,5:40486794
rs1438673-<b>C</b>,"2 x 10-20",,0.4951,'-,"0.1104 unit increase",[0.087-0.134],"AC010468.2, WDR36","Self-reported allergy",allergy,GCST002083,5:111131801
rs6881280-<b>G</b>,"2 x 10-6",,0.0691,'-,"0.1157 unit increase",[0.068-0.164],"CEP120, AC010493.1","Self-reported allergy",allergy,GCST002083,5:123279830
rs9266772-<b>C</b>,"3 x 10-12",,0.1882,'-,"0.104 unit increase",[0.075-0.133],"AL645933.3, HLA-S","Self-reported allergy",allergy,GCST002083,6:31384336
rs17664743-<b>A</b>,"5 x 10-6",,0.2244,'-,"0.0665 unit increase",[0.038-0.095],AC020743.2,"Self-reported allergy",allergy,GCST002083,7:50214301
rs6473223-<b>T</b>,"8 x 10-8",,0.3599,'-,"0.0668 unit increase",[0.042-0.091],AC034114.2,"Self-reported allergy",allergy,GCST002083,8:80355920
rs7032572-<b>G</b>,"2 x 10-9",,0.1665,'-,"0.1135 unit increase",[0.077-0.15],"GTF3AP1, AL162384.1","Self-reported allergy",allergy,GCST002083,9:6172380
rs1414874-<b>A</b>,"9 x 10-6",,0.0573,'-,"0.1121 unit increase",[0.063-0.161],"LINC02650, MARK2P15","Self-reported allergy",allergy,GCST002083,10:83493925
rs2155219-<b>T</b>,"2 x 10-19",,0.5146,'-,"0.1081 unit increase",[0.085-0.132],"EMSY, AP001189.2","Self-reported allergy",allergy,GCST002083,11:76588150
rs11069349-<b>A</b>,"5 x 10-6",,0.2066,'-,"0.0677 unit decrease",[0.039-0.097],"RPS6P23, DOCK9-DT","Self-reported allergy",allergy,GCST002083,13:99122393
rs11845867-<b>C</b>,"6 x 10-6",,0.2642,'-,"0.0626 unit increase",[0.036-0.090],NPAS3,"Self-reported allergy",allergy,GCST002083,14:33448832
rs17228058-<b>G</b>,"1 x 10-8",,0.2353,'-,"0.0789 unit increase",[0.052-0.106],SMAD3,"Self-reported allergy",allergy,GCST002083,15:67157967
rs7203459-<b>C</b>,"2 x 10-7",,0.2674,'-,"0.0706 unit decrease",[0.044-0.097],CLEC16A,"Self-reported allergy",allergy,GCST002083,16:11136846
rs2107357-<b>A</b>,"3 x 10-7",,0.1382,'-,"0.0879 unit increase",[0.054-0.122],"IL21R, IL4R","Self-reported allergy",allergy,GCST002083,16:27399508
rs9303280-<b>T</b>,"9 x 10-9",,0.4805,'-,"0.0687 unit decrease",[0.045-0.092],GSDMB,"Self-reported allergy",allergy,GCST002083,17:39917778
rs731945-<b>T</b>,"6 x 10-6",,0.3154,'-,"0.0582 unit increase",[0.033-0.083],ELL,"Self-reported allergy",allergy,GCST002083,19:18456229
rs6021270-<b>C</b>,"7 x 10-9",,0.0576,'-,"0.1517 unit decrease",[0.10-0.20],NFATC2,"Self-reported allergy",allergy,GCST002083,20:51524725
rs2235852-<b>T</b>,"4 x 10-6",,0.3267,'-,"0.0577 unit increase",[0.033-0.082],RANGAP1,"Self-reported allergy",allergy,GCST002083,22:41265150
rs34004019-<b>?</b>,"3 x 10-24",,NR,1.1086475,'-,[1.09-1.13],"HLA-DQA1, HLA-DQB1",Allergy,allergy,GCST003990,6:32658626
rs1438673-<b>?</b>,"3 x 10-17",,NR,1.0672358,'-,[1.05-1.08],"AC010468.2, WDR36",Allergy,allergy,GCST003990,5:111131801
rs11644510-<b>?</b>,"2 x 10-16",,NR,1.0706638,'-,[1.05-1.09],"AC007220.1, CLEC16A",Allergy,allergy,GCST003990,16:11183501
rs11727978-<b>?</b>,"1 x 10-15",,NR,1.083,'-,[1.062-1.104],TLR1,Allergy,allergy,GCST003990,4:38809430
rs4795400-<b>?</b>,"3 x 10-15",,NR,1.0626993,'-,[1.05-1.08],GSDMB,Allergy,allergy,GCST003990,17:39910767
rs7936323-<b>?</b>,"1 x 10-14",,NR,1.0604454,'-,[1.04-1.08],"AP001189.2, EMSY",Allergy,allergy,GCST003990,11:76582714
rs35061832-<b>?</b>,"3 x 10-13",,NR,1.1,'-,[1.073-1.129],D2HGDH,Allergy,allergy,GCST003990,2:241753075
rs4908769-<b>?</b>,"2 x 10-12",,NR,1.061,'-,[1.044-1.079],RERE,Allergy,allergy,GCST003990,1:8641229
rs9739070-<b>?</b>,"1 x 10-11",,NR,1.067,'-,[1.047-1.087],"SBNO1, RNA5SP375",Allergy,allergy,GCST003990,12:123286485
rs367023-<b>?</b>,"2 x 10-11",,NR,1.0582011,'-,[1.04-1.08],LINC00299,Allergy,allergy,GCST003990,2:8309993
rs148505069-<b>?</b>,"4 x 10-11",,NR,1.056,'-,[1.039-1.073],"IL2, IL21",Allergy,allergy,GCST003990,4:122496409
rs1775550-<b>?</b>,"6 x 10-11",,NR,1.067,'-,[1.047-1.088],"AC044784.1, LINC00709",Allergy,allergy,GCST003990,10:9010779
rs10975488-<b>?</b>,"8 x 10-11",,NR,1.087,'-,[1.060-1.115],"GTF3AP1, IL33",Allergy,allergy,GCST003990,9:6213829
rs11217036-<b>?</b>,"9 x 10-11",,NR,1.0649627,'-,[1.04-1.09],"AP004609.4, AP004609.5",Allergy,allergy,GCST003990,11:118805063
rs201333164-<b>?</b>,"1 x 10-10",,NR,1.062,'-,[1.042-1.081],SUFU,Allergy,allergy,GCST003990,10:102518505
rs2164068-<b>?</b>,"2 x 10-10",,NR,1.051,'-,[1.035-1.067],PLCL1,Allergy,allergy,GCST003990,2:198079128
rs61977073-<b>?</b>,"4 x 10-10",,NR,1.061,'-,[1.041-1.080],TTC6,Allergy,allergy,GCST003990,14:37682050
rs1295686-<b>?</b>,"6 x 10-10",,NR,1.061,'-,[1.041-1.080],"IL13, TH2LCRR",Allergy,allergy,GCST003990,5:132660151
rs2070902-<b>?</b>,"1 x 10-9",,NR,1.055,'-,[1.037-1.073],FCER1G,Allergy,allergy,GCST003990,1:161217875
rs7824394-<b>?</b>,"1 x 10-9",,NR,1.0504202,'-,[1.03-1.07],AC034114.2,Allergy,allergy,GCST003990,8:80380364
rs2030519-<b>?</b>,"3 x 10-8",,NR,1.043,'-,[1.028-1.059],LPP,Allergy,allergy,GCST003990,3:188402113
rs17294280-<b>?</b>,"4 x 10-8",,NR,1.053,'-,[1.034-1.073],SMAD3,Allergy,allergy,GCST003990,15:67175947
rs2519093-<b>?</b>,"4 x 10-8",,NR,1.055,'-,[1.035-1.075],ABO,Allergy,allergy,GCST003990,9:133266456
rs28397663-<b>?</b>,"4 x 10-8",,NR,1.046,'-,[1.029-1.062],AC004797.1,Allergy,allergy,GCST003990,17:49250821
rs1059513-<b>?</b>,"6 x 10-7",,NR,'-,'-,'-,STAT6,Allergy,allergy,GCST003990,12:57095926
rs950881-<b>?</b>,"6 x 10-27",,NR,1.1235955,'-,[1.1-1.15],"IL18R1, IL1RL1",Allergy,allergy,GCST003990,2:102316052
rs566750-<b>?</b>,"3 x 10-6",,NR,'-,"0.67 unit increase",NR,C5orf66,"Allergic rhinitis x sex interaction","sex interaction measurement, allergic rhinitis",GCST008138,5:135149595
rs34416364-<b>G</b>,"8 x 10-9",,0.90442,1.0608954,'-,[1.04-1.08],"MUC22, HCG22","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31035692
rs16858573-<b>T</b>,"9 x 10-11",,0.8752,1.0607829,'-,[1.04-1.08],ARHGAP15,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:143118156
rs4921290-<b>A</b>,"1 x 10-16",,0.7659,1.0602206,'-,[1.05-1.07],MIR3142HG,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:160487233
rs1214598-<b>G</b>,"6 x 10-21",,0.6147,1.0594343,'-,[1.05-1.07],"CD247, AL359962.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:167457187
rs6496676-<b>A</b>,"3 x 10-18",,0.6894,1.0586492,'-,[1.05-1.07],IQGAP1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:90445152
rs6066184-<b>C</b>,"7 x 10-16",,0.7448,1.0574179,'-,[1.04-1.07],EYA2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:47055837
rs2516466-<b>G</b>,"4 x 10-20",,0.5538,1.0564125,'-,[1.04-1.07],"LINC01149, AL645933.5","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31446550
rs12343737-<b>C</b>,"2 x 10-8",,0.8958,1.0564125,'-,[1.04-1.08],"TNC, DELEC1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:115041748
rs905670-<b>G</b>,"5 x 10-18",,0.648,1.055409,'-,[1.04-1.07],BACH2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:90248783
rs130071-<b>G</b>,"3 x 10-16",,0.7038,1.0548522,'-,[1.04-1.07],CCHCR1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:31148433
rs61907713-<b>G</b>,"4 x 10-13",,0.7809,1.0538518,'-,[1.04-1.07],"LINC02098, ETS1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:128293212
rs1201113-<b>G</b>,"1 x 10-8",,0.8786,1.0537407,'-,[1.04-1.07],TNFRSF8,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:12084377
rs11255938-<b>C</b>,"4 x 10-18",,0.5454,1.0535188,'-,[1.04-1.07],"AL355333.1, LINC02676","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:8808772
rs4616071-<b>C</b>,"2 x 10-14",,0.7315,1.0529641,'-,[1.04-1.07],"LAYN, SIK2","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:111570140
rs12365699-<b>G</b>,"3 x 10-10",,0.8349,1.05241,'-,[1.04-1.07],"AP004609.1, CXCR5","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:118872577
rs7714574-<b>T</b>,"5 x 10-17",,0.6032,1.0522993,'-,[1.04-1.06],AC114977.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:40492553
rs59183580-<b>A</b>,"2 x 10-8",,0.8707,1.0513036,'-,[1.03-1.07],AP000820.2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:95692306
rs479844-<b>G</b>,"6 x 10-17",,0.5547,1.0511931,'-,[1.04-1.06],"AP5B1, OVOL1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,11:65784486
rs3128967-<b>T</b>,"2 x 10-12",,0.90959,1.0504202,'-,[1.04-1.06],HLA-DPB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:33088320
rs1998266-<b>C</b>,"2 x 10-8",,0.8611,1.0500892,'-,[1.03-1.07],ETV7-AS1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:36390512
rs3787100-<b>G</b>,"2 x 10-12",,0.7549,1.049979,'-,[1.04-1.06],"RTEL1, RTEL1-TNFRSF6B","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,20:63675057
rs653178-<b>T</b>,"1 x 10-15",,0.5173,1.0485477,'-,[1.04-1.06],ATXN2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:111569952
rs2621363-<b>T</b>,"8 x 10-13",,0.7091,1.0481081,'-,[1.04-1.06],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32801612
rs12440045-<b>C</b>,"7 x 10-14",,0.5279,1.0465724,'-,[1.03-1.06],"RTF1, ITPKA","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:41490486
rs9247-<b>C</b>,"3 x 10-9",,0.8088,1.0461345,'-,[1.03-1.06],INPP5D,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:233204655
rs9494883-<b>A</b>,"1 x 10-10",,0.96875,1.1196954,'-,[1.08-1.16],WAKMAR2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:137850329
rs117710327-<b>C</b>,"4 x 10-18",,0.93779,1.116196,'-,[1.09-1.14],"SLC7A10, AC008738.6","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,19:33235672
rs74060469-<b>C</b>,"5 x 10-12",,0.96116,1.1150758,'-,[1.08-1.15],RUNX3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:24907665
rs62379371-<b>G</b>,"6 x 10-14",,0.95319,1.1135857,'-,[1.08-1.14],"TCF7, AC008608.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:134103583
rs62404084-<b>C</b>,"1 x 10-43",,0.8069,1.1116052,'-,[1.1-1.13],HLA-DQA1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32635544
rs34290285-<b>G</b>,"2 x 10-51",,0.7452,1.1095084,'-,[1.1-1.12],D2HGDH,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:241759225
rs3024971-<b>T</b>,"7 x 10-25",,0.893,1.10595,'-,[1.09-1.13],STAT6,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:57099944
rs6881270-<b>C</b>,"1 x 10-48",,0.7254,1.1035092,'-,[1.09-1.12],IL7R,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:35878993
rs28407950-<b>C</b>,"7 x 10-45",,0.7564,1.1032656,'-,[1.09-1.12],"HLA-DQB1, HLA-DQA1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32658571
rs1438673-<b>C</b>,"2 x 10-58",,0.5166,1.1007154,'-,[1.09-1.11],"AC010468.2, WDR36","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:111131801
rs12935657-<b>G</b>,"1 x 10-38",,0.7558,1.0955303,'-,[1.08-1.11],CLEC16A,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,16:11125184
rs10519068-<b>G</b>,"2 x 10-20",,0.8722,1.0868385,'-,[1.07-1.11],RORA,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,15:60776505
rs4845604-<b>G</b>,"5 x 10-21",,0.8595,1.0864842,'-,[1.07-1.1],RORC,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:151829204
rs9276643-<b>C</b>,"8 x 10-12",,0.6647,1.0858942,'-,[1.06-1.11],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32777057
rs186856025-<b>C</b>,"5 x 10-17",,0.8923,1.0847163,'-,[1.07-1.1],"LINC00709, AC044784.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,10:9001494
rs11539209-<b>T</b>,"7 x 10-13",,0.92036,1.0828371,'-,[1.06-1.11],ZDHHC12,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:128721272
rs509399-<b>C</b>,"2 x 10-11",,0.92476,1.079797,'-,[1.06-1.1],LINC01991,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:187963924
rs7749543-<b>G</b>,"8 x 10-10",,0.6269,1.0775862,'-,[1.05-1.1],"HLA-DQB2, HLA-DOB","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:32783639
rs891058-<b>G</b>,"2 x 10-27",,0.7053,1.0738832,'-,[1.06-1.09],LINC00299,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:8302417
rs3918226-<b>C</b>,"6 x 10-10",,0.9224,1.0728463,'-,[1.05-1.1],NOS3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:150993088
rs4916533-<b>C</b>,"6 x 10-10",,0.91931,1.0707784,'-,[1.05-1.09],"NRROS, PIGX","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:196646711
rs7221109-<b>C</b>,"6 x 10-25",,0.6494,1.0665529,'-,[1.05-1.08],"AC004585.2, SMARCE1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,17:40614034
rs10910095-<b>G</b>,"4 x 10-13",,0.8659,1.0658708,'-,[1.05-1.08],"AL139246.2, AL139246.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:2579316
rs1837253-<b>C</b>,"3 x 10-19",,0.7398,1.0629252,'-,[1.05-1.08],"TSLP, AC010395.1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:111066174
rs9986945-<b>G</b>,"2 x 10-10",,0.883,1.0612332,'-,[1.04-1.08],AC024028.1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,7:3113539
rs4648883-<b>C</b>,"2 x 10-13",,0.5803,1.0454783,'-,[1.03-1.06],RUNX3,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:24934712
rs9816071-<b>T</b>,"1 x 10-13",,0.5205,1.0450413,'-,[1.03-1.06],SLC15A2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:121921471
rs7989041-<b>T</b>,"2 x 10-12",,0.6506,1.0449321,'-,[1.03-1.06],"KLF5, PSMD10P3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,13:73053538
rs10909912-<b>T</b>,"2 x 10-8",,0.8102,1.0440594,'-,[1.03-1.06],PRDM16,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:3258807
rs301806-<b>T</b>,"1 x 10-12",,0.5842,1.0439503,'-,[1.03-1.06],RERE,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:8422018
rs1260294-<b>T</b>,"2 x 10-8",,0.8004,1.0430791,'-,[1.03-1.06],PITPNM2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,12:123075742
rs2396497-<b>C</b>,"1 x 10-9",,0.7581,1.0430791,'-,[1.03-1.06],"TDGF1P2, CCL20","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:227859423
rs9442514-<b>G</b>,"1 x 10-9",,0.739,1.0429703,'-,[1.03-1.06],SPSB1,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,1:9295877
rs12623041-<b>C</b>,"1 x 10-10",,0.6802,1.0421009,'-,[1.03-1.05],"SOCAR, MIR4435-2HG, AC017002.4, AC017002.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,2:111505565
rs11717778-<b>G</b>,"6 x 10-11",,0.6585,1.0418837,'-,[1.03-1.05],"CD200R1L, CD200R1","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,3:112853801
rs249677-<b>A</b>,"6 x 10-11",,0.6331,1.0413413,'-,[1.03-1.05],"NDFIP1, AC091825.3","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,5:142159774
rs28749131-<b>G</b>,"2 x 10-10",,0.6706,1.041016,'-,[1.03-1.05],"HLA-U, HLA-A","Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,6:29940118
rs1330303-<b>C</b>,"5 x 10-10",,0.6461,1.0396092,'-,[1.03-1.05],BNC2,"Hay fever and/or eczema","Eczema, allergic rhinitis",GCST009717,9:16715828
